Job runs on node:
lrdn4990
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=4
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 26, 	Batch:7, 	Train Loss = 0.162525, 	Val Loss = 0.252376
Epoch 27, 	Batch:0, 	Train Loss = 0.181904, 	Val Loss = 0.251959
Epoch 27, 	Batch:1, 	Train Loss = 0.137462, 	Val Loss = 0.251959
Epoch 27, 	Batch:2, 	Train Loss = 0.142566, 	Val Loss = 0.251959
Epoch 27, 	Batch:3, 	Train Loss = 0.134795, 	Val Loss = 0.251959
Epoch 27, 	Batch:4, 	Train Loss = 0.162451, 	Val Loss = 0.251959
Epoch 27, 	Batch:5, 	Train Loss = 0.159206, 	Val Loss = 0.251959
Epoch 27, 	Batch:6, 	Train Loss = 0.158958, 	Val Loss = 0.251959
Epoch 27, 	Batch:7, 	Train Loss = 0.162347, 	Val Loss = 0.251959
Epoch 28, 	Batch:0, 	Train Loss = 0.181606, 	Val Loss = 0.251514
Epoch 28, 	Batch:1, 	Train Loss = 0.137313, 	Val Loss = 0.251514
Epoch 28, 	Batch:2, 	Train Loss = 0.142434, 	Val Loss = 0.251514
Epoch 28, 	Batch:3, 	Train Loss = 0.134707, 	Val Loss = 0.251514
Epoch 28, 	Batch:4, 	Train Loss = 0.162281, 	Val Loss = 0.251514
Epoch 28, 	Batch:5, 	Train Loss = 0.159038, 	Val Loss = 0.251514
Epoch 28, 	Batch:6, 	Train Loss = 0.158782, 	Val Loss = 0.251514
Epoch 28, 	Batch:7, 	Train Loss = 0.162170, 	Val Loss = 0.251514
Epoch 29, 	Batch:0, 	Train Loss = 0.181304, 	Val Loss = 0.251084
Epoch 29, 	Batch:1, 	Train Loss = 0.137113, 	Val Loss = 0.251084
Epoch 29, 	Batch:2, 	Train Loss = 0.142313, 	Val Loss = 0.251084
Epoch 29, 	Batch:3, 	Train Loss = 0.134657, 	Val Loss = 0.251084
Epoch 29, 	Batch:4, 	Train Loss = 0.162148, 	Val Loss = 0.251084
Epoch 29, 	Batch:5, 	Train Loss = 0.158911, 	Val Loss = 0.251084
Epoch 29, 	Batch:6, 	Train Loss = 0.158652, 	Val Loss = 0.251084
Epoch 29, 	Batch:7, 	Train Loss = 0.162038, 	Val Loss = 0.251084
Epoch 30, 	Batch:0, 	Train Loss = 0.181093, 	Val Loss = 0.250789
Epoch 30, 	Batch:1, 	Train Loss = 0.136855, 	Val Loss = 0.250789
Epoch 30, 	Batch:2, 	Train Loss = 0.142230, 	Val Loss = 0.250789
Epoch 30, 	Batch:3, 	Train Loss = 0.134655, 	Val Loss = 0.250789
Epoch 30, 	Batch:4, 	Train Loss = 0.162072, 	Val Loss = 0.250789
Epoch 30, 	Batch:5, 	Train Loss = 0.158838, 	Val Loss = 0.250789
Epoch 30, 	Batch:6, 	Train Loss = 0.158597, 	Val Loss = 0.250789
Epoch 30, 	Batch:7, 	Train Loss = 0.161968, 	Val Loss = 0.250789
Epoch 31, 	Batch:0, 	Train Loss = 0.181083, 	Val Loss = 0.250746
Epoch 31, 	Batch:1, 	Train Loss = 0.136546, 	Val Loss = 0.250746
Epoch 31, 	Batch:2, 	Train Loss = 0.142228, 	Val Loss = 0.250746
Epoch 31, 	Batch:3, 	Train Loss = 0.134700, 	Val Loss = 0.250746
Epoch 31, 	Batch:4, 	Train Loss = 0.162072, 	Val Loss = 0.250746
Epoch 31, 	Batch:5, 	Train Loss = 0.158829, 	Val Loss = 0.250746
Epoch 31, 	Batch:6, 	Train Loss = 0.158642, 	Val Loss = 0.250746
